93028, Запорізька область, місто Запоріжжя, просп. Тараса Шевченка, 08
04988, Івано-Франківська область, місто Івано-Франківськ, пров. Генерала Жадова, 85
98576, Луганська область, місто Луганськ, просп. 40 років Перемоги, 99
14944, Чернігівська область, місто Чернігів, пров. Волкова, 72
39156, Чернігівська область, місто Чернігів, пров. Космонавта Попова, 76
42274, Запорізька область, місто Запоріжжя, вул. Волкова, 06
69418, Херсонська область, місто Херсон, пл. Леніна, 25
86623, Харківська область, місто Харків, просп. Гагаріна, 29
20599, Тернопільська область, місто Тернопіль, пров. Леніна, 05
24234, Сумська область, місто Суми, просп. Тараса Шевченка, 44
99973, Харківська область, місто Харків, пл. Волкова, 90
45968, Київська область, місто Київ, просп. Пацаєва, 16
24371, Луганська область, місто Луганськ, просп. Леніна, 14
04687, Полтавська область, місто Полтава, пров. Пацаєва, 19
43763, Донецька область, місто Донецьк, пров. 40 років Перемоги, 38
09255, Запорізька область, місто Запоріжжя, пл. Космонавта Попова, 77
38363, Сумська область, місто Суми, пров. Тараса Шевченка, 60
00505, Дніпропетровська область, місто Дніпропетровськ, пл. 50 років Жовтня, 15
41981, Полтавська область, місто Полтава, вул. 50 років Жовтня, 91
93886, Чернівецька область, місто Чернівці, просп. Космонавта Попова, 43
04309, Харківська область, місто Харків, вул. Тараса Шевченка, 46
45537, Чернівецька область, місто Чернівці, просп. Тараса Шевченка, 02
93988, Рівненська область, місто Рівне, пл. Лесі Українки, 54
96730, Сумська область, місто Суми, вул. Пацаєва, 97
76279, Запорізька область, місто Запоріжжя, пл. Леніна, 72
83246, Вінницька область, місто Вінниця, пл. 40 років Перемоги, 64
56757, Рівненська область, місто Рівне, пл. Лесі Українки, 09
36115, Київська область, місто Київ, пл. Леніна, 06
90008, Херсонська область, місто Херсон, вул. Волкова, 97
40540, Миколаївська область, місто Миколаїв, просп. Пацаєва, 53
47587, Дніпропетровська область, місто Дніпропетровськ, пл. Леніна, 57
32277, Херсонська область, місто Херсон, вул. Гагаріна, 62
70247, Харківська область, місто Харків, вул. Генерала Жадова, 66
67089, Івано-Франківська область, місто Івано-Франківськ, просп. Гагаріна, 63
55954, Полтавська область, місто Полтава, просп. Тараса Шевченка, 86
59068, Чернігівська область, місто Чернігів, просп. Генерала Жадова, 62
96089, Луганська область, місто Луганськ, пров. Гагаріна, 75
50750, Чернігівська область, місто Чернігів, просп. Пацаєва, 07
14933, Дніпропетровська область, місто Дніпропетровськ, пл. Леніна, 91
07704, Херсонська область, місто Херсон, вул. Тараса Шевченка, 67
83180, Вінницька область, місто Вінниця, вул. Лесі Українки, 83
09370, Одеська область, місто Одеса, вул. Михайла Грушевського, 69
45679, Вінницька область, місто Вінниця, вул. Пацаєва, 76
13444, Львівська область, місто Львів, вул. Лесі Українки, 45
01718, Житомирська область, місто Житомир, вул. 50 років Жовтня, 28
09477, Закарпатська область, місто Ужгород, пров. Леніна, 55
90607, Луганська область, місто Луганськ, вул. Генерала Жадова, 27
32038, Київська область, місто Київ, вул. Тараса Шевченка, 19
70216, Вінницька область, місто Вінниця, вул. 40 років Перемоги, 62
53716, Київська область, місто Київ, пров. Гагаріна, 78
72802, Кіровоградська область, місто Кіровоград, пл. Волкова, 23
